A,PTP_RT,F,H0010-0019,AC4-8A,IT	6.93 	4.4 
A,PTP_RT,F,H0010-0019,AC4-8A,LT	1.33 	: 
A,PTP_RT,F,H0010-0019,AC4-8A,LU	: 	4.3 
A,PTP_RT,F,H0010-0019,AC4-8A,LV	2.50 	: 
A,PTP_RT,F,H0010-0019,AC4-8A,NL	: 	6.5 
A,PTP_RT,F,H0010-0019,AC4-8A,NO	12.61 	11.2 
A,PTP_RT,F,H0010-0019,AC4-8A,PL	2.61 	2.1 
A,PTP_RT,F,H0010-0019,AC4-8A,RO	: 	0.8 
A,PTP_RT,F,H0010-0019,AC4-8A,RS	: 	5.0 
A,PTP_RT,F,H0010-0019,AC4-8A,SI	3.48 	: 
A,PTP_RT,F,H0010-0019,AC4-8A,TR	: 	4.6 
A,PTP_RT,F,H0010-0019,AC4-8A,UK	7.61 	3.9 
A,PTP_RT,F,H0010-0019,AC82,BE	4.96 	4.8 
A,PTP_RT,F,H0010-0019,AC82,BG	1.18 	: 
A,PTP_RT,F,H0010-0019,AC82,DE	2.85 	3.1 
A,PTP_RT,F,H0010-0019,AC82,EE	2.91 	2.7 
A,PTP_RT,F,H0010-0019,AC82,EL	: 	8.3 
A,PTP_RT,F,H0010-0019,AC82,ES	11.36 	12.9 
A,PTP_RT,F,H0010-0019,AC82,FI	2.83 	3.4 
A,PTP_RT,F,H0010-0019,AC82,FR	2.47 	3.8 
A,PTP_RT,F,H0010-0019,AC82,HU	: 	1.2 
A,PTP_RT,F,H0010-0019,AC82,IT	2.28 	2.4 
A,PTP_RT,F,H0010-0019,AC82,LT	0.95 	: 
A,PTP_RT,F,H0010-0019,AC82,LU	: 	3.9 
A,PTP_RT,F,H0010-0019,AC82,LV	1.90 	: 
A,PTP_RT,F,H0010-0019,AC82,NL	: 	3.7 
A,PTP_RT,F,H0010-0019,AC82,NO	4.53 	4.8 
A,PTP_RT,F,H0010-0019,AC82,PL	1.78 	0.9 
A,PTP_RT,F,H0010-0019,AC82,RO	: 	1.1 
A,PTP_RT,F,H0010-0019,AC82,RS	: 	3.8 
A,PTP_RT,F,H0010-0019,AC82,SI	1.17 	: 
A,PTP_RT,F,H0010-0019,AC82,TR	: 	4.0 
A,PTP_RT,F,H0010-0019,AC82,UK	3.33 	3.0 
A,PTP_RT,F,H0010-0019,AC9E,BE	0.02 	0.0 
A,PTP_RT,F,H0010-0019,AC9E,BG	0.08 	: 
A,PTP_RT,F,H0010-0019,AC9E,DE	0.04 	0.0 
A,PTP_RT,F,H0010-0019,AC9E,EE	0.20 	0.1 
