freq,unit,sex,wstatus,acl00,geo\TIME_PERIOD	2000 	2010 
A,PTP_RT,F,EMP,AC32A,AT	: 	24.3 
A,PTP_RT,F,EMP,AC32A,BE	50.4 	56.3 
A,PTP_RT,F,EMP,AC32A,BG	29.2 	: 
A,PTP_RT,F,EMP,AC32A,DE	: 	35.4 
A,PTP_RT,F,EMP,AC32A,EE	26.9 	24.7 
A,PTP_RT,F,EMP,AC32A,EL	: 	19.8 
A,PTP_RT,F,EMP,AC32A,ES	30.3 	30.5 
A,PTP_RT,F,EMP,AC32A,FI	57.2 	51.7 
A,PTP_RT,F,EMP,AC32A,FR	: 	25.8 
A,PTP_RT,F,EMP,AC32A,HU	: 	29.5 
A,PTP_RT,F,EMP,AC32A,IT	20.5 	22.5 
A,PTP_RT,F,EMP,AC32A,LT	51.4 	: 
A,PTP_RT,F,EMP,AC32A,LV	35.9 	: 
A,PTP_RT,F,EMP,AC32A,NL	: 	48.4 
A,PTP_RT,F,EMP,AC32A,NO	4.9 	31.0 
A,PTP_RT,F,EMP,AC32A,PL	43.0 	27.7 
A,PTP_RT,F,EMP,AC32A,RO	: 	35.5 
A,PTP_RT,F,EMP,AC32A,RS	: 	27.3 
A,PTP_RT,F,EMP,AC32A,SI	41.0 	: 
A,PTP_RT,F,EMP,AC32A,UK	37.1 	48.3 
A,PTP_RT,F,EMP,AC331,AT	: 	32.6 
A,PTP_RT,F,EMP,AC331,BE	30.2 	24.4 
A,PTP_RT,F,EMP,AC331,BG	29.2 	: 
A,PTP_RT,F,EMP,AC331,DE	: 	29.2 
A,PTP_RT,F,EMP,AC331,EE	20.6 	13.4 
A,PTP_RT,F,EMP,AC331,EL	: 	24.8 
A,PTP_RT,F,EMP,AC331,ES	26.3 	25.3 
A,PTP_RT,F,EMP,AC331,FI	40.7 	32.3 
A,PTP_RT,F,EMP,AC331,FR	: 	20.2 
A,PTP_RT,F,EMP,AC331,HU	: 	27.4 
A,PTP_RT,F,EMP,AC331,IT	23.1 	18.6 
A,PTP_RT,F,EMP,AC331,LT	19.6 	: 
A,PTP_RT,F,EMP,AC331,LV	13.8 	: 
A,PTP_RT,F,EMP,AC331,NL	: 	33.2 
A,PTP_RT,F,EMP,AC331,NO	41.0 	41.2 
