freq,unit,acl00,sex,geo\TIME_PERIOD	2000 	2010 
A,PTP_TIME,AC_NP_SEC,T,HU	: 	1:57 
A,PTP_TIME,AC_NP_SEC,T,IT	1:00 	1:00 
A,PTP_TIME,AC_NP_SEC,T,LT	1:11 	: 
A,PTP_TIME,AC_NP_SEC,T,LU	: 	0:40 
A,PTP_TIME,AC_NP_SEC,T,LV	1:09 	: 
A,PTP_TIME,AC_NP_SEC,T,NL	: 	0:53 
A,PTP_TIME,AC_NP_SEC,T,NO	0:51 	0:51 
A,PTP_TIME,AC_NP_SEC,T,PL	0:55 	1:00 
A,PTP_TIME,AC_NP_SEC,T,RO	: 	0:50 
A,PTP_TIME,AC_NP_SEC,T,RS	: 	1:01 
A,PTP_TIME,AC_NP_SEC,T,SI	1:13 	: 
A,PTP_TIME,AC_NP_SEC,T,TR	: 	0:00 
A,PTP_TIME,AC_NP_SEC,T,UK	1:09 	0:56 
A,PTP_TIME,AC_PNP_MAIN,F,AT	: 	7:21 
A,PTP_TIME,AC_PNP_MAIN,F,BE	6:08 	6:04 
A,PTP_TIME,AC_PNP_MAIN,F,BG	7:49 	: 
A,PTP_TIME,AC_PNP_MAIN,F,DE	6:25 	6:11 
A,PTP_TIME,AC_PNP_MAIN,F,EE	8:07 	7:08 
A,PTP_TIME,AC_PNP_MAIN,F,EL	: 	6:32 
A,PTP_TIME,AC_PNP_MAIN,F,ES	7:19 	7:13 
A,PTP_TIME,AC_PNP_MAIN,F,FI	6:37 	6:21 
A,PTP_TIME,AC_PNP_MAIN,F,FR	7:01 	6:29 
A,PTP_TIME,AC_PNP_MAIN,F,HU	: 	7:06 
A,PTP_TIME,AC_PNP_MAIN,F,IT	7:34 	7:31 
A,PTP_TIME,AC_PNP_MAIN,F,LT	8:11 	: 
A,PTP_TIME,AC_PNP_MAIN,F,LU	: 	6:40 
A,PTP_TIME,AC_PNP_MAIN,F,LV	7:35 	: 
A,PTP_TIME,AC_PNP_MAIN,F,NL	: 	5:44 
A,PTP_TIME,AC_PNP_MAIN,F,NO	6:33 	6:25 
A,PTP_TIME,AC_PNP_MAIN,F,PL	7:09 	7:10 
A,PTP_TIME,AC_PNP_MAIN,F,RO	: 	7:50 
A,PTP_TIME,AC_PNP_MAIN,F,RS	: 	7:19 
A,PTP_TIME,AC_PNP_MAIN,F,SI	7:45 	: 
A,PTP_TIME,AC_PNP_MAIN,F,TR	: 	6:39 
A,PTP_TIME,AC_PNP_MAIN,F,UK	6:46 	6:26 
A,PTP_TIME,AC_PNP_MAIN,M,AT	: 	7:21 
A,PTP_TIME,AC_PNP_MAIN,M,BE	5:50 	5:49 
A,PTP_TIME,AC_PNP_MAIN,M,BG	6:36 	: 
A,PTP_TIME,AC_PNP_MAIN,M,DE	6:14 	6:09 
A,PTP_TIME,AC_PNP_MAIN,M,EE	7:23 	6:27 
A,PTP_TIME,AC_PNP_MAIN,M,EL	: 	5:30 
A,PTP_TIME,AC_PNP_MAIN,M,ES	6:37 	6:26 
A,PTP_TIME,AC_PNP_MAIN,M,FI	6:27 	5:54 
A,PTP_TIME,AC_PNP_MAIN,M,FR	6:40 	6:18 
A,PTP_TIME,AC_PNP_MAIN,M,HU	: 	6:17 
A,PTP_TIME,AC_PNP_MAIN,M,IT	6:30 	6:38 
A,PTP_TIME,AC_PNP_MAIN,M,LT	7:20 	: 
A,PTP_TIME,AC_PNP_MAIN,M,LU	: 	6:25 
A,PTP_TIME,AC_PNP_MAIN,M,LV	7:23 	: 
A,PTP_TIME,AC_PNP_MAIN,M,NL	: 	6:11 
A,PTP_TIME,AC_PNP_MAIN,M,NO	6:37 	6:41 
A,PTP_TIME,AC_PNP_MAIN,M,PL	6:47 	7:00 
A,PTP_TIME,AC_PNP_MAIN,M,RO	: 	6:49 
A,PTP_TIME,AC_PNP_MAIN,M,RS	: 	6:19 
A,PTP_TIME,AC_PNP_MAIN,M,SI	6:58 	: 
A,PTP_TIME,AC_PNP_MAIN,M,TR	: 	6:42 
A,PTP_TIME,AC_PNP_MAIN,M,UK	6:41 	6:04 
A,PTP_TIME,AC_PNP_MAIN,T,AT	: 	7:21 
A,PTP_TIME,AC_PNP_MAIN,T,BE	5:59 	5:57 
A,PTP_TIME,AC_PNP_MAIN,T,BG	7:15 	: 
A,PTP_TIME,AC_PNP_MAIN,T,DE	6:20 	6:10 
A,PTP_TIME,AC_PNP_MAIN,T,EE	7:47 	6:49 
A,PTP_TIME,AC_PNP_MAIN,T,EL	: 	6:04 
A,PTP_TIME,AC_PNP_MAIN,T,ES	6:59 	6:50 
