freq,unit,sex,acl00,geo\TIME_PERIOD	2000 	2010 
A,PTP_TIME,M,AC_NP_SEC,UK	0:50 	0:53 
A,PTP_TIME,T,AC_NP_MAIN,AT	: 	3:52 
A,PTP_TIME,T,AC_NP_MAIN,BE	3:33 	3:32 
A,PTP_TIME,T,AC_NP_MAIN,BG	4:29 	: 
A,PTP_TIME,T,AC_NP_MAIN,DE	3:46 	3:25 
A,PTP_TIME,T,AC_NP_MAIN,EE	4:17 	3:44 
A,PTP_TIME,T,AC_NP_MAIN,EL	: 	3:41 
A,PTP_TIME,T,AC_NP_MAIN,ES	4:03 	3:59 
A,PTP_TIME,T,AC_NP_MAIN,FI	3:28 	3:21 
A,PTP_TIME,T,AC_NP_MAIN,FR	4:02 	3:38 
A,PTP_TIME,T,AC_NP_MAIN,HU	: 	4:07 
A,PTP_TIME,T,AC_NP_MAIN,IT	4:22 	4:14 
A,PTP_TIME,T,AC_NP_MAIN,LT	3:57 	: 
A,PTP_TIME,T,AC_NP_MAIN,LU	: 	3:14 
A,PTP_TIME,T,AC_NP_MAIN,LV	3:33 	: 
A,PTP_TIME,T,AC_NP_MAIN,NL	: 	3:12 
A,PTP_TIME,T,AC_NP_MAIN,NO	3:18 	3:24 
A,PTP_TIME,T,AC_NP_MAIN,PL	4:00 	3:58 
A,PTP_TIME,T,AC_NP_MAIN,RO	: 	4:10 
A,PTP_TIME,T,AC_NP_MAIN,RS	: 	4:07 
A,PTP_TIME,T,AC_NP_MAIN,SI	4:16 	: 
A,PTP_TIME,T,AC_NP_MAIN,TR	: 	4:05 
A,PTP_TIME,T,AC_NP_MAIN,UK	3:37 	3:16 
A,PTP_TIME,T,AC_NP_SEC,AT	: 	0:51 
A,PTP_TIME,T,AC_NP_SEC,BE	0:45 	1:09 
A,PTP_TIME,T,AC_NP_SEC,BG	1:33 	: 
A,PTP_TIME,T,AC_NP_SEC,DE	1:07 	1:14 
A,PTP_TIME,T,AC_NP_SEC,EE	1:15 	1:07 
A,PTP_TIME,T,AC_NP_SEC,EL	: 	0:58 
A,PTP_TIME,T,AC_NP_SEC,ES	: 	1:03 
A,PTP_TIME,T,AC_NP_SEC,FI	1:01 	1:00 
A,PTP_TIME,T,AC_NP_SEC,FR	1:11 	1:22 
A,PTP_TIME,T,AC_NP_SEC,HU	: 	1:57 
A,PTP_TIME,T,AC_NP_SEC,IT	1:00 	1:00 
A,PTP_TIME,T,AC_NP_SEC,LT	1:11 	: 
A,PTP_TIME,T,AC_NP_SEC,LU	: 	0:40 
A,PTP_TIME,T,AC_NP_SEC,LV	1:09 	: 
A,PTP_TIME,T,AC_NP_SEC,NL	: 	0:53 
A,PTP_TIME,T,AC_NP_SEC,NO	0:51 	0:51 
A,PTP_TIME,T,AC_NP_SEC,PL	0:55 	1:00 
A,PTP_TIME,T,AC_NP_SEC,RO	: 	0:50 
A,PTP_TIME,T,AC_NP_SEC,RS	: 	1:01 
A,PTP_TIME,T,AC_NP_SEC,SI	1:13 	: 
A,PTP_TIME,T,AC_NP_SEC,TR	: 	0:00 
A,PTP_TIME,T,AC_NP_SEC,UK	1:09 	0:56 
A,TIME_SP,F,AC_NP_MAIN,AT	: 	4:29 
A,TIME_SP,F,AC_NP_MAIN,BE	4:06 	3:56 
A,TIME_SP,F,AC_NP_MAIN,BG	5:07 	: 
A,TIME_SP,F,AC_NP_MAIN,DE	4:23 	3:51 
A,TIME_SP,F,AC_NP_MAIN,EE	4:58 	4:03 
A,TIME_SP,F,AC_NP_MAIN,EL	: 	4:28 
