freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,F,Y55-64,TIME_SP,BG	1:44 
A,F,Y55-64,TIME_SP,DE	1:33 
A,F,Y55-64,TIME_SP,EE	1:09 
A,F,Y55-64,TIME_SP,FI	1:29 
A,F,Y55-64,TIME_SP,NO	1:28 
A,F,Y55-64,TIME_SP,RS	1:53 
A,F,Y65-74,PTP_RT,AT	95.99 
A,F,Y65-74,PTP_RT,BG	99.00 
A,F,Y65-74,PTP_RT,DE	95.30 
A,F,Y65-74,PTP_RT,EE	96.21 
A,F,Y65-74,PTP_RT,FI	91.36 
A,F,Y65-74,PTP_RT,NO	87.07 
A,F,Y65-74,PTP_RT,RS	98.73 
A,F,Y65-74,PTP_TIME,AT	1:57 
A,F,Y65-74,PTP_TIME,BG	1:56 
A,F,Y65-74,PTP_TIME,DE	1:53 
A,F,Y65-74,PTP_TIME,EE	1:26 
A,F,Y65-74,PTP_TIME,FI	1:38 
A,F,Y65-74,PTP_TIME,NO	2:17 
A,F,Y65-74,PTP_TIME,RS	2:17 
A,F,Y65-74,TIME_SP,AT	1:53 
A,F,Y65-74,TIME_SP,BG	1:55 
A,F,Y65-74,TIME_SP,DE	1:48 
A,F,Y65-74,TIME_SP,EE	1:22 
A,F,Y65-74,TIME_SP,FI	1:30 
A,F,Y65-74,TIME_SP,NO	1:59 
A,F,Y65-74,TIME_SP,RS	2:15 
A,F,Y_GE60,PTP_RT,AT	96.32 
A,F,Y_GE60,PTP_RT,BG	99.21 
A,F,Y_GE60,PTP_RT,DE	95.35 
A,F,Y_GE60,PTP_RT,EE	96.39 
A,F,Y_GE60,PTP_RT,FI	92.91 
A,F,Y_GE60,PTP_RT,NO	86.68 
A,F,Y_GE60,PTP_RT,RS	98.62 
A,F,Y_GE60,PTP_TIME,AT	1:58 
A,F,Y_GE60,PTP_TIME,BG	1:56 
A,F,Y_GE60,PTP_TIME,DE	1:52 
A,F,Y_GE60,PTP_TIME,EE	1:23 
A,F,Y_GE60,PTP_TIME,FI	1:35 
A,F,Y_GE60,PTP_TIME,NO	2:17 
A,F,Y_GE60,PTP_TIME,RS	2:14 
A,F,Y_GE60,TIME_SP,AT	1:54 
A,F,Y_GE60,TIME_SP,BG	1:55 
A,F,Y_GE60,TIME_SP,DE	1:47 
A,F,Y_GE60,TIME_SP,EE	1:20 
A,F,Y_GE60,TIME_SP,FI	1:28 
A,F,Y_GE60,TIME_SP,NO	1:58 
A,F,Y_GE60,TIME_SP,RS	2:12 
A,F,Y_GE65,PTP_RT,AT	97.15 
A,F,Y_GE65,PTP_RT,BG	99.14 
A,F,Y_GE65,PTP_RT,DE	95.68 
A,F,Y_GE65,PTP_RT,EE	96.83 
A,F,Y_GE65,PTP_RT,FI	93.44 
A,F,Y_GE65,PTP_RT,NO	88.57 
A,F,Y_GE65,PTP_RT,RS	98.93 
A,F,Y_GE65,PTP_TIME,AT	2:00 
A,F,Y_GE65,PTP_TIME,BG	1:58 
A,F,Y_GE65,PTP_TIME,DE	1:55 
A,F,Y_GE65,PTP_TIME,EE	1:25 
A,F,Y_GE65,PTP_TIME,FI	1:36 
A,F,Y_GE65,PTP_TIME,NO	2:22 
A,F,Y_GE65,PTP_TIME,RS	2:17 
A,F,Y_GE65,TIME_SP,AT	1:56 
A,F,Y_GE65,TIME_SP,BG	1:57 
A,F,Y_GE65,TIME_SP,DE	1:50 
A,F,Y_GE65,TIME_SP,EE	1:22 
A,F,Y_GE65,TIME_SP,FI	1:29 
A,F,Y_GE65,TIME_SP,NO	2:06 
A,F,Y_GE65,TIME_SP,RS	2:16 
A,F,Y_GE75,PTP_RT,AT	98.15 
A,F,Y_GE75,PTP_RT,BG	99.32 
A,F,Y_GE75,PTP_RT,DE	96.53 
A,F,Y_GE75,PTP_RT,EE	97.46 
A,F,Y_GE75,PTP_RT,FI	95.88 
A,F,Y_GE75,PTP_RT,NO	94.51 
A,F,Y_GE75,PTP_RT,RS	99.23 
A,F,Y_GE75,PTP_TIME,AT	2:01 
A,F,Y_GE75,PTP_TIME,BG	2:00 
A,F,Y_GE75,PTP_TIME,DE	2:01 
A,F,Y_GE75,PTP_TIME,EE	1:24 
A,F,Y_GE75,PTP_TIME,FI	1:33 
A,F,Y_GE75,PTP_TIME,NO	2:40 
A,F,Y_GE75,PTP_TIME,RS	2:19 
A,F,Y_GE75,TIME_SP,AT	1:59 
A,F,Y_GE75,TIME_SP,BG	2:00 
A,F,Y_GE75,TIME_SP,DE	1:57 
A,F,Y_GE75,TIME_SP,EE	1:22 
A,F,Y_GE75,TIME_SP,FI	1:29 
A,F,Y_GE75,TIME_SP,NO	2:31 
A,F,Y_GE75,TIME_SP,RS	2:18 
A,M,TOTAL,PTP_RT,AT	91.11 
A,M,TOTAL,PTP_RT,BG	97.97 
A,M,TOTAL,PTP_RT,DE	91.55 
A,M,TOTAL,PTP_RT,EE	92.66 
A,M,TOTAL,PTP_RT,FI	87.83 
A,M,TOTAL,PTP_RT,NO	79.73 
A,M,TOTAL,PTP_RT,RS	97.41 
A,M,TOTAL,PTP_TIME,AT	1:39 
A,M,TOTAL,PTP_TIME,BG	1:42 
A,M,TOTAL,PTP_TIME,DE	1:36 
A,M,TOTAL,PTP_TIME,EE	1:13 
A,M,TOTAL,PTP_TIME,FI	1:27 
A,M,TOTAL,PTP_TIME,NO	1:47 
A,M,TOTAL,PTP_TIME,RS	1:47 
A,M,TOTAL,TIME_SP,AT	1:30 
A,M,TOTAL,TIME_SP,BG	1:39 
A,M,TOTAL,TIME_SP,DE	1:28 
A,M,TOTAL,TIME_SP,EE	1:08 
A,M,TOTAL,TIME_SP,FI	1:16 
A,M,TOTAL,TIME_SP,NO	1:25 
A,M,TOTAL,TIME_SP,RS	1:44 
A,M,Y10-14,PTP_RT,AT	94.34 
A,M,Y10-14,PTP_RT,BG	100.0 
A,M,Y10-14,PTP_RT,DE	93.16 
A,M,Y10-14,PTP_RT,EE	93.03 
A,M,Y10-14,PTP_RT,FI	85.75 
A,M,Y10-14,PTP_RT,NO	87.80 
A,M,Y10-14,PTP_TIME,AT	1:27 
A,M,Y10-14,PTP_TIME,BG	1:34 
A,M,Y10-14,PTP_TIME,DE	1:34 
A,M,Y10-14,PTP_TIME,EE	1:09 
A,M,Y10-14,PTP_TIME,FI	1:10 
A,M,Y10-14,PTP_TIME,NO	1:37 
A,M,Y10-14,TIME_SP,AT	1:22 
A,M,Y10-14,TIME_SP,BG	1:34 
A,M,Y10-14,TIME_SP,DE	1:28 
A,M,Y10-14,TIME_SP,EE	1:04 
A,M,Y10-14,TIME_SP,FI	1:00 
A,M,Y10-14,TIME_SP,NO	1:25 
A,M,Y15-24,PTP_RT,AT	86.99 
A,M,Y15-24,PTP_RT,BG	97.64 
A,M,Y15-24,PTP_RT,DE	88.65 
A,M,Y15-24,PTP_RT,EE	89.33 
A,M,Y15-24,PTP_RT,FI	80.01 
A,M,Y15-24,PTP_RT,NO	75.84 
A,M,Y15-24,PTP_RT,RS	96.70 
A,M,Y15-24,PTP_TIME,AT	1:22 
A,M,Y15-24,PTP_TIME,BG	1:27 
A,M,Y15-24,PTP_TIME,DE	1:23 
A,M,Y15-24,PTP_TIME,EE	1:00 
A,M,Y15-24,PTP_TIME,FI	1:12 
A,M,Y15-24,PTP_TIME,NO	1:31 
A,M,Y15-24,PTP_TIME,RS	1:26 
A,M,Y15-24,TIME_SP,AT	1:11 
A,M,Y15-24,TIME_SP,BG	1:25 
A,M,Y15-24,TIME_SP,DE	1:14 
A,M,Y15-24,TIME_SP,EE	0:54 
A,M,Y15-24,TIME_SP,FI	0:57 
A,M,Y15-24,TIME_SP,NO	1:09 
A,M,Y15-24,TIME_SP,RS	1:23 
A,M,Y15-29,PTP_RT,AT	85.42 
A,M,Y15-29,PTP_RT,BG	96.77 
A,M,Y15-29,PTP_RT,DE	88.00 
A,M,Y15-29,PTP_RT,EE	87.48 
A,M,Y15-29,PTP_RT,FI	81.35 
A,M,Y15-29,PTP_RT,NO	74.16 
A,M,Y15-29,PTP_RT,RS	96.40 
A,M,Y15-29,PTP_TIME,AT	1:22 
A,M,Y15-29,PTP_TIME,BG	1:27 
A,M,Y15-29,PTP_TIME,DE	1:21 
A,M,Y15-29,PTP_TIME,EE	1:03 
A,M,Y15-29,PTP_TIME,FI	1:10 
A,M,Y15-29,PTP_TIME,NO	1:30 
A,M,Y15-29,PTP_TIME,RS	1:27 
A,M,Y15-29,TIME_SP,AT	1:10 
A,M,Y15-29,TIME_SP,BG	1:24 
A,M,Y15-29,TIME_SP,DE	1:11 
A,M,Y15-29,TIME_SP,EE	0:55 
A,M,Y15-29,TIME_SP,FI	0:57 
A,M,Y15-29,TIME_SP,NO	1:07 
A,M,Y15-29,TIME_SP,RS	1:24 
A,M,Y15-64,PTP_RT,AT	89.47 
A,M,Y15-64,PTP_RT,BG	97.59 
A,M,Y15-64,PTP_RT,DE	90.59 
A,M,Y15-64,PTP_RT,EE	91.76 
A,M,Y15-64,PTP_RT,FI	86.29 
A,M,Y15-64,PTP_RT,NO	77.32 
A,M,Y15-64,PTP_RT,RS	97.08 
A,M,Y15-64,PTP_TIME,AT	1:31 
A,M,Y15-64,PTP_TIME,BG	1:35 
A,M,Y15-64,PTP_TIME,DE	1:29 
A,M,Y15-64,PTP_TIME,EE	1:10 
A,M,Y15-64,PTP_TIME,FI	1:24 
A,M,Y15-64,PTP_TIME,NO	1:38 
A,M,Y15-64,PTP_TIME,RS	1:37 
A,M,Y15-64,TIME_SP,AT	1:22 
A,M,Y15-64,TIME_SP,BG	1:33 
A,M,Y15-64,TIME_SP,DE	1:20 
A,M,Y15-64,TIME_SP,EE	1:04 
A,M,Y15-64,TIME_SP,FI	1:13 
A,M,Y15-64,TIME_SP,NO	1:16 
A,M,Y15-64,TIME_SP,RS	1:34 
A,M,Y25-34,PTP_RT,AT	84.94 
A,M,Y25-34,PTP_RT,BG	95.57 
A,M,Y25-34,PTP_RT,DE	87.63 
A,M,Y25-34,PTP_RT,EE	90.80 
A,M,Y25-34,PTP_RT,FI	85.32 
A,M,Y25-34,PTP_RT,NO	74.19 
A,M,Y25-34,PTP_RT,RS	96.55 
A,M,Y25-34,PTP_TIME,AT	1:24 
A,M,Y25-34,PTP_TIME,BG	1:27 
A,M,Y25-34,PTP_TIME,DE	1:19 
A,M,Y25-34,PTP_TIME,EE	1:02 
A,M,Y25-34,PTP_TIME,FI	1:19 
A,M,Y25-34,PTP_TIME,NO	1:29 
A,M,Y25-34,PTP_TIME,RS	1:30 
A,M,Y25-34,TIME_SP,AT	1:12 
A,M,Y25-34,TIME_SP,BG	1:23 
A,M,Y25-34,TIME_SP,DE	1:09 
A,M,Y25-34,TIME_SP,EE	0:56 
A,M,Y25-34,TIME_SP,FI	1:07 
A,M,Y25-34,TIME_SP,NO	1:06 
A,M,Y25-34,TIME_SP,RS	1:27 
A,M,Y30-44,PTP_RT,AT	88.94 
A,M,Y30-44,PTP_RT,BG	96.51 
A,M,Y30-44,PTP_RT,DE	90.07 
A,M,Y30-44,PTP_RT,EE	93.26 
A,M,Y30-44,PTP_RT,FI	88.20 
A,M,Y30-44,PTP_RT,NO	79.82 
A,M,Y30-44,PTP_RT,RS	96.58 
A,M,Y30-44,PTP_TIME,AT	1:29 
A,M,Y30-44,PTP_TIME,BG	1:31 
A,M,Y30-44,PTP_TIME,DE	1:22 
A,M,Y30-44,PTP_TIME,EE	1:08 
A,M,Y30-44,PTP_TIME,FI	1:26 
A,M,Y30-44,PTP_TIME,NO	1:33 
A,M,Y30-44,PTP_TIME,RS	1:34 
A,M,Y30-44,TIME_SP,AT	1:19 
A,M,Y30-44,TIME_SP,BG	1:28 
A,M,Y30-44,TIME_SP,DE	1:14 
A,M,Y30-44,TIME_SP,EE	1:03 
A,M,Y30-44,TIME_SP,FI	1:16 
A,M,Y30-44,TIME_SP,NO	1:14 
A,M,Y30-44,TIME_SP,RS	1:31 
A,M,Y30-64,PTP_RT,AT	90.84 
A,M,Y30-64,PTP_RT,BG	97.81 
A,M,Y30-64,PTP_RT,DE	91.43 
A,M,Y30-64,PTP_RT,EE	93.19 
A,M,Y30-64,PTP_RT,FI	88.29 
A,M,Y30-64,PTP_RT,NO	78.56 
A,M,Y30-64,PTP_RT,RS	97.32 
A,M,Y30-64,PTP_TIME,AT	1:34 
A,M,Y30-64,PTP_TIME,BG	1:37 
A,M,Y30-64,PTP_TIME,DE	1:31 
A,M,Y30-64,PTP_TIME,EE	1:12 
A,M,Y30-64,PTP_TIME,FI	1:29 
A,M,Y30-64,PTP_TIME,NO	1:41 
A,M,Y30-64,PTP_TIME,RS	1:40 
A,M,Y30-64,TIME_SP,AT	1:26 
A,M,Y30-64,TIME_SP,BG	1:35 
A,M,Y30-64,TIME_SP,DE	1:23 
A,M,Y30-64,TIME_SP,EE	1:07 
A,M,Y30-64,TIME_SP,FI	1:19 
A,M,Y30-64,TIME_SP,NO	1:19 
A,M,Y30-64,TIME_SP,RS	1:37 
A,M,Y35-44,PTP_RT,AT	90.18 
A,M,Y35-44,PTP_RT,BG	96.74 
A,M,Y35-44,PTP_RT,DE	91.12 
A,M,Y35-44,PTP_RT,EE	91.99 
A,M,Y35-44,PTP_RT,FI	89.08 
A,M,Y35-44,PTP_RT,NO	80.66 
A,M,Y35-44,PTP_RT,RS	96.32 
A,M,Y35-44,PTP_TIME,AT	1:30 
A,M,Y35-44,PTP_TIME,BG	1:32 
A,M,Y35-44,PTP_TIME,DE	1:23 
A,M,Y35-44,PTP_TIME,EE	1:14 
A,M,Y35-44,PTP_TIME,FI	1:25 
A,M,Y35-44,PTP_TIME,NO	1:34 
A,M,Y35-44,PTP_TIME,RS	1:36 
A,M,Y35-44,TIME_SP,AT	1:22 
A,M,Y35-44,TIME_SP,BG	1:29 
A,M,Y35-44,TIME_SP,DE	1:16 
A,M,Y35-44,TIME_SP,EE	1:08 
A,M,Y35-44,TIME_SP,FI	1:15 
A,M,Y35-44,TIME_SP,NO	1:16 
A,M,Y35-44,TIME_SP,RS	1:32 
A,M,Y45-54,PTP_RT,AT	91.59 
A,M,Y45-54,PTP_RT,BG	98.29 
A,M,Y45-54,PTP_RT,DE	91.64 
A,M,Y45-54,PTP_RT,EE	93.75 
A,M,Y45-54,PTP_RT,FI	89.36 
A,M,Y45-54,PTP_RT,NO	75.26 
A,M,Y45-54,PTP_RT,RS	97.38 
A,M,Y45-54,PTP_TIME,AT	1:32 
A,M,Y45-54,PTP_TIME,BG	1:39 
A,M,Y45-54,PTP_TIME,DE	1:30 
A,M,Y45-54,PTP_TIME,EE	1:06 
A,M,Y45-54,PTP_TIME,FI	1:28 
A,M,Y45-54,PTP_TIME,NO	1:37 
A,M,Y45-54,PTP_TIME,RS	1:37 
A,M,Y45-54,TIME_SP,AT	1:25 
A,M,Y45-54,TIME_SP,BG	1:37 
A,M,Y45-54,TIME_SP,DE	1:23 
A,M,Y45-54,TIME_SP,EE	1:02 
A,M,Y45-54,TIME_SP,FI	1:19 
A,M,Y45-54,TIME_SP,NO	1:13 
A,M,Y45-54,TIME_SP,RS	1:34 
A,M,Y45-64,PTP_RT,AT	92.21 
A,M,Y45-64,PTP_RT,BG	98.69 
