freq,sex,age,acl18,unit,geo\TIME_PERIOD	2020 
A,F,TOTAL,TOTAL,PTP_RT,EE	80.36 
A,F,TOTAL,TOTAL,PTP_RT,FI	85.50 
A,F,TOTAL,TOTAL,PTP_RT,NO	84.52 
A,F,TOTAL,TOTAL,PTP_RT,RS	88.68 
A,F,TOTAL,TOTAL,PTP_TIME,AT	4:00 
A,F,TOTAL,TOTAL,PTP_TIME,BG	3:15 
A,F,TOTAL,TOTAL,PTP_TIME,DE	4:40 
A,F,TOTAL,TOTAL,PTP_TIME,EE	3:33 
A,F,TOTAL,TOTAL,PTP_TIME,FI	3:50 
A,F,TOTAL,TOTAL,PTP_TIME,NO	4:52 
A,F,TOTAL,TOTAL,PTP_TIME,RS	3:21 
A,F,TOTAL,TOTAL,TIME_SP,AT	3:19 
A,F,TOTAL,TOTAL,TIME_SP,BG	2:58 
A,F,TOTAL,TOTAL,TIME_SP,DE	4:07 
A,F,TOTAL,TOTAL,TIME_SP,EE	2:51 
A,F,TOTAL,TOTAL,TIME_SP,FI	3:17 
A,F,TOTAL,TOTAL,TIME_SP,NO	4:07 
A,F,TOTAL,TOTAL,TIME_SP,RS	2:59 
A,F,Y10-14,AC021,PTP_RT,AT	17.96 
A,F,Y10-14,AC021,PTP_RT,BG	2.16 
A,F,Y10-14,AC021,PTP_RT,DE	12.49 
A,F,Y10-14,AC021,PTP_RT,EE	6.09 
A,F,Y10-14,AC021,PTP_RT,FI	11.22 
A,F,Y10-14,AC021,PTP_RT,NO	19.54 
A,F,Y10-14,AC021,PTP_TIME,AT	1:01 
A,F,Y10-14,AC021,PTP_TIME,BG	: u
A,F,Y10-14,AC021,PTP_TIME,DE	1:05 
A,F,Y10-14,AC021,PTP_TIME,EE	: u
A,F,Y10-14,AC021,PTP_TIME,FI	1:13 u
A,F,Y10-14,AC021,PTP_TIME,NO	1:36 
A,F,Y10-14,AC021,TIME_SP,AT	0:11 
A,F,Y10-14,AC021,TIME_SP,BG	0:02 
A,F,Y10-14,AC021,TIME_SP,DE	0:08 
A,F,Y10-14,AC021,TIME_SP,EE	0:02 
A,F,Y10-14,AC021,TIME_SP,FI	0:08 
A,F,Y10-14,AC021,TIME_SP,NO	0:19 
A,F,Y10-14,AC121,PTP_RT,AT	1.17 
