freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,M,TOTAL,PTP_RT,FI	82.46 
A,M,TOTAL,PTP_RT,NO	74.79 
A,M,TOTAL,PTP_RT,RS	88.88 
A,M,TOTAL,PTP_TIME,AT	3:56 
A,M,TOTAL,PTP_TIME,BG	3:07 
A,M,TOTAL,PTP_TIME,DE	4:34 
A,M,TOTAL,PTP_TIME,EE	3:20 
A,M,TOTAL,PTP_TIME,FI	3:30 
A,M,TOTAL,PTP_TIME,NO	4:42 
A,M,TOTAL,PTP_TIME,RS	3:18 
A,M,TOTAL,TIME_SP,AT	3:05 
A,M,TOTAL,TIME_SP,BG	2:53 
A,M,TOTAL,TIME_SP,DE	3:59 
A,M,TOTAL,TIME_SP,EE	2:37 
A,M,TOTAL,TIME_SP,FI	2:53 
A,M,TOTAL,TIME_SP,NO	3:31 
A,M,TOTAL,TIME_SP,RS	2:56 
A,M,Y10-14,PTP_RT,AT	71.22 
A,M,Y10-14,PTP_RT,BG	83.67 
A,M,Y10-14,PTP_RT,DE	79.58 
A,M,Y10-14,PTP_RT,EE	71.09 
A,M,Y10-14,PTP_RT,FI	69.99 
A,M,Y10-14,PTP_RT,NO	73.28 
A,M,Y10-14,PTP_TIME,AT	3:18 
A,M,Y10-14,PTP_TIME,BG	2:25 
A,M,Y10-14,PTP_TIME,DE	3:56 
A,M,Y10-14,PTP_TIME,EE	2:43 
A,M,Y10-14,PTP_TIME,FI	2:28 
A,M,Y10-14,PTP_TIME,NO	3:45 
A,M,Y10-14,TIME_SP,AT	2:21 
A,M,Y10-14,TIME_SP,BG	2:01 
A,M,Y10-14,TIME_SP,DE	3:08 
A,M,Y10-14,TIME_SP,EE	1:56 
A,M,Y10-14,TIME_SP,FI	1:43 
A,M,Y10-14,TIME_SP,NO	2:45 
A,M,Y15-24,PTP_RT,AT	71.31 
A,M,Y15-24,PTP_RT,BG	90.86 
A,M,Y15-24,PTP_RT,DE	83.25 
A,M,Y15-24,PTP_RT,EE	78.74 
A,M,Y15-24,PTP_RT,FI	84.69 
A,M,Y15-24,PTP_RT,NO	76.24 
A,M,Y15-24,PTP_RT,RS	88.99 
A,M,Y15-24,PTP_TIME,AT	4:21 
A,M,Y15-24,PTP_TIME,BG	3:25 
A,M,Y15-24,PTP_TIME,DE	4:38 
A,M,Y15-24,PTP_TIME,EE	4:04 
A,M,Y15-24,PTP_TIME,FI	4:00 
A,M,Y15-24,PTP_TIME,NO	5:00 
A,M,Y15-24,PTP_TIME,RS	3:28 
A,M,Y15-24,TIME_SP,AT	3:06 
A,M,Y15-24,TIME_SP,BG	3:06 
A,M,Y15-24,TIME_SP,DE	3:51 
A,M,Y15-24,TIME_SP,EE	3:12 
