A,F,H0010-0019,AC995-999,PTP_RT,DE	0.16 
A,F,H0010-0019,AC995-999,PTP_RT,EE	1.01 
A,F,H0010-0019,AC995-999,PTP_RT,FI	2.31 
A,F,H0010-0019,AC995-999,PTP_RT,NO	0.37 
A,F,H0010-0019,AC995-999,PTP_RT,RS	0.25 
A,F,H0010-0019,TOTAL,PTP_RT,AT	100.0 
A,F,H0010-0019,TOTAL,PTP_RT,BG	100.0 
A,F,H0010-0019,TOTAL,PTP_RT,DE	100.0 
A,F,H0010-0019,TOTAL,PTP_RT,EE	100.0 
A,F,H0010-0019,TOTAL,PTP_RT,FI	100.0 
A,F,H0010-0019,TOTAL,PTP_RT,NO	100.0 
A,F,H0010-0019,TOTAL,PTP_RT,RS	100.0 
A,F,H0020-0029,AC021,PTP_RT,AT	0.28 
A,F,H0020-0029,AC021,PTP_RT,BG	0.05 
A,F,H0020-0029,AC021,PTP_RT,DE	0.23 
A,F,H0020-0029,AC021,PTP_RT,EE	0.11 
A,F,H0020-0029,AC021,PTP_RT,FI	0.22 
A,F,H0020-0029,AC021,PTP_RT,NO	0.36 
A,F,H0020-0029,AC021,PTP_RT,RS	0.07 
A,F,H0020-0029,AC0_X_021,PTP_RT,AT	93.26 
A,F,H0020-0029,AC0_X_021,PTP_RT,BG	97.10 
A,F,H0020-0029,AC0_X_021,PTP_RT,DE	92.08 
A,F,H0020-0029,AC0_X_021,PTP_RT,EE	90.49 
A,F,H0020-0029,AC0_X_021,PTP_RT,FI	87.84 
A,F,H0020-0029,AC0_X_021,PTP_RT,NO	84.21 
A,F,H0020-0029,AC0_X_021,PTP_RT,RS	93.73 
A,F,H0020-0029,AC1_2,PTP_RT,AT	0.57 
A,F,H0020-0029,AC1_2,PTP_RT,BG	0.29 
A,F,H0020-0029,AC1_2,PTP_RT,DE	0.39 
A,F,H0020-0029,AC1_2,PTP_RT,EE	1.15 
A,F,H0020-0029,AC1_2,PTP_RT,FI	0.58 
A,F,H0020-0029,AC1_2,PTP_RT,NO	1.27 
A,F,H0020-0029,AC1_2,PTP_RT,RS	0.83 
A,F,H0020-0029,AC3_713_936-980,PTP_RT,AT	0.61 
A,F,H0020-0029,AC3_713_936-980,PTP_RT,BG	0.48 
A,F,H0020-0029,AC3_713_936-980,PTP_RT,DE	0.79 
A,F,H0020-0029,AC3_713_936-980,PTP_RT,EE	0.92 
A,F,H0020-0029,AC3_713_936-980,PTP_RT,FI	0.98 
A,F,H0020-0029,AC3_713_936-980,PTP_RT,NO	1.38 
A,F,H0020-0029,AC3_713_936-980,PTP_RT,RS	0.76 
A,F,H0020-0029,AC4-8_998_X_713_821,PTP_RT,AT	3.45 
A,F,H0020-0029,AC4-8_998_X_713_821,PTP_RT,BG	1.13 
A,F,H0020-0029,AC4-8_998_X_713_821,PTP_RT,DE	3.92 
A,F,H0020-0029,AC4-8_998_X_713_821,PTP_RT,EE	3.99 
A,F,H0020-0029,AC4-8_998_X_713_821,PTP_RT,FI	4.68 
A,F,H0020-0029,AC4-8_998_X_713_821,PTP_RT,NO	7.89 
A,F,H0020-0029,AC4-8_998_X_713_821,PTP_RT,RS	2.08 
A,F,H0020-0029,AC821,PTP_RT,AT	1.59 
A,F,H0020-0029,AC821,PTP_RT,BG	0.82 
A,F,H0020-0029,AC821,PTP_RT,DE	2.38 
A,F,H0020-0029,AC821,PTP_RT,EE	2.42 
A,F,H0020-0029,AC821,PTP_RT,FI	3.52 
A,F,H0020-0029,AC821,PTP_RT,NO	4.40 
A,F,H0020-0029,AC821,PTP_RT,RS	2.47 
A,F,H0020-0029,AC910_920,PTP_RT,AT	0.13 
A,F,H0020-0029,AC910_920,PTP_RT,BG	0.03 
A,F,H0020-0029,AC910_920,PTP_RT,DE	0.03 
A,F,H0020-0029,AC910_920,PTP_RT,EE	0.03 
A,F,H0020-0029,AC910_920,PTP_RT,FI	0.00 
A,F,H0020-0029,AC910_920,PTP_RT,NO	0.11 
A,F,H0020-0029,AC910_920,PTP_RT,RS	0.00 
A,F,H0020-0029,AC995-999,PTP_RT,AT	0.09 
A,F,H0020-0029,AC995-999,PTP_RT,BG	0.08 
A,F,H0020-0029,AC995-999,PTP_RT,DE	0.16 
A,F,H0020-0029,AC995-999,PTP_RT,EE	0.88 
A,F,H0020-0029,AC995-999,PTP_RT,FI	2.18 
A,F,H0020-0029,AC995-999,PTP_RT,NO	0.35 
A,F,H0020-0029,AC995-999,PTP_RT,RS	0.05 
A,F,H0020-0029,TOTAL,PTP_RT,AT	100.0 
A,F,H0020-0029,TOTAL,PTP_RT,BG	100.0 
A,F,H0020-0029,TOTAL,PTP_RT,DE	100.0 
A,F,H0020-0029,TOTAL,PTP_RT,EE	100.0 
A,F,H0020-0029,TOTAL,PTP_RT,FI	100.0 
A,F,H0020-0029,TOTAL,PTP_RT,NO	100.0 
A,F,H0020-0029,TOTAL,PTP_RT,RS	100.0 
A,F,H0030-0039,AC021,PTP_RT,AT	0.26 
A,F,H0030-0039,AC021,PTP_RT,BG	0.05 
A,F,H0030-0039,AC021,PTP_RT,DE	0.18 
A,F,H0030-0039,AC021,PTP_RT,EE	0.14 
A,F,H0030-0039,AC021,PTP_RT,FI	0.22 
A,F,H0030-0039,AC021,PTP_RT,NO	0.18 
A,F,H0030-0039,AC021,PTP_RT,RS	0.07 
A,F,H0030-0039,AC0_X_021,PTP_RT,AT	94.38 
A,F,H0030-0039,AC0_X_021,PTP_RT,BG	97.54 
A,F,H0030-0039,AC0_X_021,PTP_RT,DE	93.32 
A,F,H0030-0039,AC0_X_021,PTP_RT,EE	91.88 
A,F,H0030-0039,AC0_X_021,PTP_RT,FI	89.67 
A,F,H0030-0039,AC0_X_021,PTP_RT,NO	87.24 
A,F,H0030-0039,AC0_X_021,PTP_RT,RS	95.55 
A,F,H0030-0039,AC1_2,PTP_RT,AT	0.53 
A,F,H0030-0039,AC1_2,PTP_RT,BG	0.27 
A,F,H0030-0039,AC1_2,PTP_RT,DE	0.36 
A,F,H0030-0039,AC1_2,PTP_RT,EE	1.21 
A,F,H0030-0039,AC1_2,PTP_RT,FI	0.52 
A,F,H0030-0039,AC1_2,PTP_RT,NO	1.16 
A,F,H0030-0039,AC1_2,PTP_RT,RS	0.61 
A,F,H0030-0039,AC3_713_936-980,PTP_RT,AT	0.51 
A,F,H0030-0039,AC3_713_936-980,PTP_RT,BG	0.40 
A,F,H0030-0039,AC3_713_936-980,PTP_RT,DE	0.78 
A,F,H0030-0039,AC3_713_936-980,PTP_RT,EE	0.76 
A,F,H0030-0039,AC3_713_936-980,PTP_RT,FI	0.85 
A,F,H0030-0039,AC3_713_936-980,PTP_RT,NO	1.36 
A,F,H0030-0039,AC3_713_936-980,PTP_RT,RS	0.55 
A,F,H0030-0039,AC4-8_998_X_713_821,PTP_RT,AT	2.91 
A,F,H0030-0039,AC4-8_998_X_713_821,PTP_RT,BG	0.95 
A,F,H0030-0039,AC4-8_998_X_713_821,PTP_RT,DE	3.28 
A,F,H0030-0039,AC4-8_998_X_713_821,PTP_RT,EE	2.96 
A,F,H0030-0039,AC4-8_998_X_713_821,PTP_RT,FI	3.84 
A,F,H0030-0039,AC4-8_998_X_713_821,PTP_RT,NO	6.15 
A,F,H0030-0039,AC4-8_998_X_713_821,PTP_RT,RS	1.40 
A,F,H0030-0039,AC821,PTP_RT,AT	1.35 
A,F,H0030-0039,AC821,PTP_RT,BG	0.70 
A,F,H0030-0039,AC821,PTP_RT,DE	1.89 
A,F,H0030-0039,AC821,PTP_RT,EE	2.17 
A,F,H0030-0039,AC821,PTP_RT,FI	2.74 
A,F,H0030-0039,AC821,PTP_RT,NO	3.36 
A,F,H0030-0039,AC821,PTP_RT,RS	1.69 
A,F,H0030-0039,AC910_920,PTP_RT,AT	0.02 
A,F,H0030-0039,AC910_920,PTP_RT,BG	0.03 
A,F,H0030-0039,AC910_920,PTP_RT,DE	0.03 
A,F,H0030-0039,AC910_920,PTP_RT,EE	0.03 
A,F,H0030-0039,AC910_920,PTP_RT,FI	0.00 
A,F,H0030-0039,AC910_920,PTP_RT,NO	0.25 
A,F,H0030-0039,AC910_920,PTP_RT,RS	0.00 
A,F,H0030-0039,AC995-999,PTP_RT,AT	0.03 
A,F,H0030-0039,AC995-999,PTP_RT,BG	0.06 
A,F,H0030-0039,AC995-999,PTP_RT,DE	0.13 
A,F,H0030-0039,AC995-999,PTP_RT,EE	0.84 
A,F,H0030-0039,AC995-999,PTP_RT,FI	2.15 
A,F,H0030-0039,AC995-999,PTP_RT,NO	0.26 
A,F,H0030-0039,AC995-999,PTP_RT,RS	0.13 
A,F,H0030-0039,TOTAL,PTP_RT,AT	100.0 
A,F,H0030-0039,TOTAL,PTP_RT,BG	100.0 
A,F,H0030-0039,TOTAL,PTP_RT,DE	100.0 
A,F,H0030-0039,TOTAL,PTP_RT,EE	100.0 
A,F,H0030-0039,TOTAL,PTP_RT,FI	100.0 
A,F,H0030-0039,TOTAL,PTP_RT,NO	100.0 
A,F,H0030-0039,TOTAL,PTP_RT,RS	100.0 
A,F,H0040-0049,AC021,PTP_RT,AT	0.22 
A,F,H0040-0049,AC021,PTP_RT,BG	0.05 
A,F,H0040-0049,AC021,PTP_RT,DE	0.18 
A,F,H0040-0049,AC021,PTP_RT,EE	0.12 
A,F,H0040-0049,AC021,PTP_RT,FI	0.41 
A,F,H0040-0049,AC021,PTP_RT,NO	0.25 
A,F,H0040-0049,AC021,PTP_RT,RS	0.02 
A,F,H0040-0049,AC0_X_021,PTP_RT,AT	95.03 
A,F,H0040-0049,AC0_X_021,PTP_RT,BG	97.82 
A,F,H0040-0049,AC0_X_021,PTP_RT,DE	94.10 
A,F,H0040-0049,AC0_X_021,PTP_RT,EE	93.16 
A,F,H0040-0049,AC0_X_021,PTP_RT,FI	90.65 
A,F,H0040-0049,AC0_X_021,PTP_RT,NO	87.75 
A,F,H0040-0049,AC0_X_021,PTP_RT,RS	96.12 
A,F,H0040-0049,AC1_2,PTP_RT,AT	0.52 
A,F,H0040-0049,AC1_2,PTP_RT,BG	0.24 
A,F,H0040-0049,AC1_2,PTP_RT,DE	0.36 
A,F,H0040-0049,AC1_2,PTP_RT,EE	1.01 
A,F,H0040-0049,AC1_2,PTP_RT,FI	0.52 
A,F,H0040-0049,AC1_2,PTP_RT,NO	1.15 
A,F,H0040-0049,AC1_2,PTP_RT,RS	0.56 
A,F,H0040-0049,AC3_713_936-980,PTP_RT,AT	0.45 
A,F,H0040-0049,AC3_713_936-980,PTP_RT,BG	0.24 
A,F,H0040-0049,AC3_713_936-980,PTP_RT,DE	0.69 
A,F,H0040-0049,AC3_713_936-980,PTP_RT,EE	0.76 
A,F,H0040-0049,AC3_713_936-980,PTP_RT,FI	0.60 
A,F,H0040-0049,AC3_713_936-980,PTP_RT,NO	1.16 
A,F,H0040-0049,AC3_713_936-980,PTP_RT,RS	0.49 
